https://twitter.com/CinematicBanter/status/1169303428453085185,,re,lik,com,,
@RosemaryChapman,"He doesn't even have greater experience, she does. The pay gap was not about experience.",0,4,0,,
@JLP20,It’s called fair market value. She accepts or passes bottom line,0,0,1,,
@sierramillirons,So we’re supposed to let a WHITE man write a movie about ASIANS...... they’re co-writers either way. So let’s start there.,0,1,1,,
@JLP20,"“We” aren’t doing anything. Whoever is putting up THEIR money to produce films makes the decisions. If your that good, gather investors and produce yourself. But since your not, you won’t",0,0,1,,
@sierramillirons,Maybe “their” money is producing films but if we don’t watch they make no money.,0,1,1,,
@JLP20,Your obviously still a child.,0,0,0,,
@RyanTZeppo,"Oh gee, a story celebrating absurdly immoral wealth disparity was funded through absurdly immoral pay disparity. I'm sure that's, like, irony or something.",4,60,0,,
@xthina_etc,"Some comments I’ve seen say that Chiarelli deserves more because he’s had more with movies where’s she’s “just produced for TV”. This is a weird defense, because some of the best and most impressive writing I’ve seen has been for TV. Lost, Breaking Bad, Mad Men, etc.",3,132,3,,
@xthina_etc,whereas* (damn autocorrect),0,9,0,,
@YuNg__XIn,U know what's funnier its crazy rich ASIANS and they fucking need an Asian writer to make it an accurate representation. But they're underpaying her for her knowledge on Asian culture that is crucial to the film. Yall people r so smart,0,4,0,,
@Elias_alwan,They're just gonna make a shittier movie and learn their lesson,1,61,0,,
@_isatou_,110k?! THE DISRESPECT,0,4,0,,
@twobyflor,"A quick glance at their IMDB profiles seems to indicate that she has more experience than he does, too. This is really heartbreaking.",13,216,1,,
@medicoantifa,"Well, it’s really just simple sexism and racism.",1,2,0,,
@Goolexios,"wild how quick people are to say she's less experienced/quality so isn't getting paid as much because ""that's how it works"" Despite that a huge chunk of the charm of the film came from her skill, experience, and knowledge a culture that he likely couldn't solo CO-writer.",1,14,0,,
@Leeekey,The cultural cues in the writing were very neat,0,9,0,,
@Faeles_Moon,"Weird, Asians usually out earn white people",0,2,1,,
@mybillsbeblue,"I completely understand your train of thought here and partially agree, but that’s like paying LeBron and Kyle Kuzma the same amount bc they’re teammates",0,6,2,,
@mybillsbeblue,Also it literally says in the article that a part of Lim leaving was because she felt she was only there to culturally enrich the project instead of being credited with creating the actual story,0,17,0,,
@DreTop1a,#PayAdeleLim needs to trend until @warnerbros corrects this!,12,25,1,,
@ettaellaa,#payadelelim,1,2,0,,
@Ravie777,"Does Chiarelli have a better resume? If so, then there's no proof that gender is the reason that Lim is being paid less.",0,1,2,,
@humanturtleneck,lol It’s not just gender. There are racial factors as well. Also a simple google search will reveal that Lim is vastly more experienced than Chiarelli.,1,21,0,,
@Keithfy,Fucking right way to protest love it,0,0,0,,
@JelloYelo,"im not tryna be that guy but just to have someone looking at it from a different perspective co-writer /= equal work maybe she wasnt doing nearly as much ? therefore deserving of less pay ? just a thought, i dont kno if she did just as much or not",0,0,0,,
@bitchlovestoeat,Hollywood HATES poc and that's a fact!!! Good for her for standing her ground and leaving ,0,0,0,,
@JGoings2,"Oh, wow, ""only"" $100,000.00. How tragic. How will she survive on such a meager sum.",0,0,0,,
@cowslayer17,I checked their IMDBs and WOOOOOOOW man this is ridiculous unless he’s supposed to do 8 times more work. But really they shouldn’t make a sequel at all because the first one fuckin sucked.,0,0,0,,
@DrPlagueTM,"lol imagine abandoning a $110,000 salary job",0,0,0,,
@SonnyKoufax10,"The pay gap isn’t right, but come on, the movie sucked no matter who wrote what.",0,0,0,,
@_QuanHitter,Yea but wasn’t as important to the script therefore she is getting paid less.,0,0,0,,
@coach_skip,"And bam there you have it . Freedom to choose and she did , good for her. It’s the way it’s supposed to work. No government needed.if the movie flops she will get top bucks next . Smart lady",0,0,0,,
@illest_sav,The movie grossed close to 240 million and they offering her peanuts,0,5,0,,
@_leannerosaa,"lim didn’t want to be used as a device to project the feel of cultural authenticity, she said she didn’t wanna be the ‘soy sauce’ on top 😂😂😂 she also left because she felt producers only viewed her heritage to be her only value added to the screenplay",0,7,0,,
@isaiahheaden,I get it. But this is part 2. There’s less risk. So the gap shouldn’t be THAT wide. Lower the other writers pay or boost her pay. Not that hard.,0,5,0,,
@melanin_god_69,"And they wonder why Hollywood is at it's lowest point if revenue. Hollywood isn't investing in original content. Soo many Black, Asian, and Hispanic writers and directors are ready to make quality content and Hollywood is just remaking shit.",1,7,0,,
@not_cheska,@wbpictures @warnerbros @WBHomeEnt why is this situation happening ?,0,4,0,,
@SWH232,"I just want China Rich Girlfriend and Rich People Problems to actually be good This worries me, but as long as Kwan's books are adapted well, then it should be fine",0,4,0,,
@alostkoi,"The worst is the gap, it's completely absurd she'd be earning 10% of what he gets?",0,3,0,,
@DXXVII,I’m sure they made enough money from the first movie to pay them the same ,0,4,0,,
@fangirlyuuki,"To those folks saying the pay gap Chiarelli and Lim is just fine. Have you ever think that BOTH OF THEM got THE SAME JOB➡️CO-WRITER?? Is there a hidden ranks between co-writers? If u are hired for the same job, u should expect same salary as others cuz you just have the SAME JOB!",0,3,0,,
@gloriawuwu,I mean obvi I dk how Hollywood works and all that but I feel like since the cast of CRA went on and on about representation and inclusivity they should have stood by her and spoke out,0,3,0,,
@AY3_RON,Not really liking the view of this bamboo ceiling,0,3,0,,
@Squallamytweets,Isn’t this what Monique was fights for ,1,3,0,,
@Hollywood_JT_,Bruh this is so disrespectful. Woulda had to pull an ice cube,1,3,0,,
@ASoftBeagle,How to rt something more than once,2,4,0,,
@DTWriters,Wow! Why the huge #pay gap #writers #WarnerBros,0,2,0,,
@arino_amt,Warner Bro’s wtf,0,2,0,,
@forevaagirl,i was just watching this last night & couldn’t wait for a sequel but now...,0,2,0,,
@skeletonarmies,"And this is why we need to share salary information with each other in the workplace. Helps you weed out the bullshit so much faster, but corporations don't want you to know that. ",0,2,0,,
@BlueGenius99,Wesh j’ai pas compris?,0,0,1,,
@BlueGenius99,Oui mais pourquoi en fait ,0,0,1,,
@rxy610,"Both don’t deserve that pay for producing that shit movie, like the story looks like law quality basic storyline movie in Korea/China, I don’t even wanna speak about characters.",0,0,1,,
@borastrap,"it’s based off a book. the storyline and characters are not their creation, they only solidified already written personalities.",0,4,0,,
@SerPanda561,Chiarelli didn't speak out about this???,0,0,1,,
@rabbit_vivid,"Allegedly he offered half of his pay to her, but since the issue wasn't money but how little Warner valued her work as writer she left the project.",0,3,0,,
@JeffreyO,Better treat that woman right,1,0,0,,
@Redcrest,Aaaahhh why is Hollywood like this????? @ChrisHewitt @HelenLOHara @jamescdyer,0,0,1,,
@HelenLOHara,"I mean, there are easy answers to that question. And not good ones.",0,2,1,,
@Redcrest,"It was rhetorical in a despairing-for-the-universe way, but yeah... ",0,0,1,,
@HelenLOHara,Yup.,0,1,0,,
@Littleton00,@badbloke4D,0,1,0,,
@CinemaDoll90,Preach ,0,1,0,,
@alllexdrago,this pay gap is atrocious,0,1,0,,
@_danman,That's a big pay difference. That is terrible,0,1,0,,
@KpHeaney,"And without Lim are those voices specific and heard? Therefore, without Lim, does it translate to the same box office numbers? IMHO, no.",0,1,0,,
@__kaitb__,Take it up with people who aren’t paying her a fair wage for co-writing this,0,0,0,,
@Bleppyboi,An actual story which shows q big issue rather than one that is easily dismissable and merely makes the issue overlooked even more!? Wow.,0,0,0,,
@cmcariaga,@GuillermoBrent,0,0,0,,
@patri3cia,"BTW, i need to see this movie again",0,0,0,,
@AraaaNF,lmaoooo am i the only one tak tengok movie ni lagi huuuuuu ,0,0,0,,
@mparen,Not so crazy asian after all...,0,0,0,,
@ettaellaa,That’s crazy! The pay difference is so much!,0,0,0,,
@heredia10la,@Nickyh18,0,0,0,,
@friedBRIshain,Has she written anything before?,0,0,0,,
@jibblyuniverse4,"not knowing the context and resume of each writer, i'm going to say if they are both resonably new or have the same amount of experience, then they should 100% be paid equally",0,0,0,,
@KidmanMakino,It already did but it’s just rich people complaining about money,0,0,0,,
@Irishyrock,Ifb,0,0,0,,
@Irishyrock,I agree,0,0,0,,
@j_jenae,If this is true then I hope the sequel tanks.,0,0,0,,
@ikigaiden,This is so disgusting. Not that I’m surprised since white male executives still run the industry.,0,0,0,,
@KO6EX,There’s a lot more that goes into it but okay,0,0,0,,
@SafariSolomon,That gap is insane.,0,0,0,,
@drewdsky,@Carroteatsbunny,0,0,0,,
@MonsterTrey,@rfhbill #boner for the studio if this is true,0,0,0,,
@KayyTF,"That’s all we needed from her. 110k, offer still stands take or leave it.",0,0,0,,
@KingCherBear,So Pete didn’t stand in solidarity with Adele? Their is no reason for cowrites to have this much of a difference in pay if any!,0,0,0,,
@jikooksuniverse,What a shame,0,0,0,,
@Marva__,Same scenario as Monique involving @netflix,0,0,0,,
@GTGMlady,That takes a lot of brass. How can blatant and outrageous disparity like this go unchallenged?,0,0,0,,
@DalaranCrater,Pete chiarrelli has written and produced more movies than Lim who has only written and produced for tv outside of crazy rich asians so of course she got offered less,0,0,0,,
@givenchy_leo,"The privilege to turn down $110,000 and then complain about it though bothers me. Not a fan of Hollywood. I agree that the pay gap is way too big and that they should be paid equally but that's still a lot of money.",0,0,0,,
@MosaAkinjobi,That's really not how it works but...okay,0,0,0,,
@HzmFitri,good now we dont have a sequel?,0,0,0,,
@spitdemfiyabars,But he made it funny,0,0,0,,
@CyrusTheRebel1,"Confirm this by not supporting the sequel. Hollywood only understands the bottom line, so guard your wallets like they guard pay inequality and watch the culture shift.",0,0,0,,
@AbAbsurdoSisifo,@natta25,0,0,0,,
@Simply_Ant,She wasn’t even getting paid half of what her co-writer was being paid like wtf,0,0,0,,
@TjSteves,And mfs was trying to say a pay gap doesn’t exist anymore 😒,0,0,0,,
@ellieisrlycool,Wow.,0,0,0,,
@LightsongGamer,Thats a massive paygap O.o,0,0,0,,
@NicaraoGaming,"doenst sound cool! (although, I have 0 idea how those payments were calculated)",0,0,0,,
@FlertDevious,I feel like the Waynes Brothers could tell a similar story🤔...,0,0,0,,
@monkrell,Mate. If I was earning $800.000 for writing 1 movie. I wouldn't give 2 fucks about what anyone else was earning. Try working 40 hours a week at minimum wage🖕reality check!,0,0,0,,
@dylanfan8,@OliviaHusseyLA @MiraSorvino,0,0,0,,
@CrossleyColor,She needs a better agent.,0,0,0,,
@chedddat,Get it together @warnerbros,0,0,0,,
@Jettbrown5,"It’s all negotiable, Everyone is paid differently for each skill set. That’s her own fault for accepting that pay without doing her own due diligence. jesus how do people not understand business..",0,0,0,,
@MurderBengal,@sarah_kowalski_,0,0,0,,
@mobjaydenpowers,It should be 50/50 but if anything she should get more because oh how much of the true ability of the feel she adds to the writing,0,0,0,,
@livrollinger,This is so fuckedup,0,0,0,,
@WitchingWorldCS,one of the last decent Hollywood movies apart from the Witching World.,0,0,0,,
@sockweezy,It's true. The entertainment industry norms are based on what people allow to be done to each other especially regarding pay. Music movies television and show business...,0,0,0,,
@Eliot_ISD,I am assuming Lim wrote the dialogue and stage directions for the mahjong game at the end? Brilliant scene (which I as a white woman needed to have explained; it's 100% better for not shoehorning unconvincing dialogue infodumps about how the gameplay reflects the conversation.),0,0,0,,
@Brookelorren,"I don't blame her. It'd be one thing if she was hired as an advisor or a fact checker, or if she didn't have much experience, but evidently that is not the case. The studio is in the wrong here.",0,0,0,,
@SlickL_CPU,"I agree but I also think that the movie should have been criticized more harshly for deviating from the book. People say ""authentic Chinese feel"" but the movie was so sensationalized that I fear it's only true Asian representation was from the all Asian cast.",0,0,0,,
@sogorgjess,I guess we won’t be watching then 🤷🏽‍♀️😒,0,0,0,,
@8Keys24,Where is she when blacks are being murder by cops? or ANY BLACK ISSUE,0,0,0,,
@ARIWILD_,Not surprised even a seasoned black actress like Octavia spencer needed a white women to take a stand just so she could get paid her worth. White people on they bullshit once again.,0,6,0,,
@jungkookiishii,I have to believe she offered way more to that script than some white dude - horribly disgraceful 😔,0,0,0,,
@_mitziegalang,we better boycott the shit out of the next movie. asians unite.,0,0,0,,
@JacobKulwicki,You're statement about them getting the same pay for being Co-writers makes Absolutely NO SENSE. Just because you're doing the same job doesn't mean you should get paid the same. That's just an ignorant ass comment.,0,0,0,,
@geekbroll,How the fuck does @WarnerMediaGrp risk the gross of the next movie and the franchise on this nonsense?,0,0,0,,
@Warandpeaces,This happens to everyone. It’s happening to me right now. Who gives af. It’s her decision to leave. Do you know the whole story? Or are you just mad about a stupid headline? Maybe she’s a bitch? Maybe he has more experience. Stop trying to be a keyboard hero.,0,0,0,,
@ashleynazanedo,Adele Lim is a smart woman🙌she should have the right to write the sequel because why not?!?! Just because of a film company telling her no & because of money?!?!are you serious😧,0,0,0,,
@DarlinaP,What complete bullshit.,0,0,0,,
@gothincolour,I WANT A SEQUEL PAY HER PROPERLY BITCHES !!!!,0,0,0,,
@babatundescott,Bloody Hollywood prides itself has liberal and progressive. This is bullshit TBFH.,0,0,0,,
@guestplayer2,Holy shit that's a huge gap. I'd tell them to fuck off too,0,0,0,,
@Franco01615148,,0,0,1,https://twitter.com/i/status/1170041249094672386,
@ellyweaver2,,2,9,0,https://t.co/bDgF97QhsP?amp=1,
@bignamedach,,0,0,0,https://twitter.com/i/status/1166423705603452935,
@Sebastiannvill1,,0,0,0,https://twitter.com/i/status/1169843740699025408,
@onlyonephizo_,,0,0,0,https://twitter.com/onlyonephizo_/status/1170013735852941313,
